year,wetland,week,et,ed,wc,wa,wt,wh,wu,count
2014,1,1,47,0.5,10.08,127613,3,2,2,2
2014,1,2,47,0.5,10.08,127613,3,2,2,1
2014,1,3,47,0.5,10.08,127613,3,2,2,0
2014,4,1,30,0.061,4.98,78864,3,1,1,3
2014,4,2,30,0.061,4.98,78864,3,1,1,3
2014,4,3,30,0.061,4.98,78864,3,1,1,2
2014,6,1,58,0.03,9.7,6097,1,2,2,0
2014,6,2,58,0.03,9.7,6097,1,2,2,0
2014,6,3,58,0.03,9.7,6097,1,2,2,0
2014,8,1,40,0.35,4.24,134394,1,2,2,0
2014,8,2,40,0.35,4.24,134394,1,2,2,0
2014,8,3,40,0.35,4.24,134394,1,2,2,0
2014,10,2,88,1.07,17.05,151721,3,1,1,0
2014,10,3,88,1.07,17.05,151721,3,1,1,0
2014,12,1,42,0.55,4.84,21934,3,2,1,0
2014,12,2,42,0.55,4.84,21934,3,2,1,0
2014,12,3,42,0.55,4.84,21934,3,2,1,0
2014,15,1,34,0.26,1.11,22673,1,2,2,30
2014,15,2,34,0.26,1.11,22673,1,2,2,2
2014,15,3,34,0.26,1.11,22673,1,2,2,0
2014,23,1,46,0.81,11.35,112178,1,2,1,8
2014,23,2,46,0.81,11.35,112178,1,2,1,10
2014,23,3,46,0.81,11.35,112178,1,2,1,2
2014,25,1,57,0.71,0.41,144948,2,2,1,2
2014,25,2,57,0.71,0.41,144948,2,2,1,1
2014,25,3,57,0.71,0.41,144948,2,2,1,1
2014,28,1,38,0.61,5.22,61631,1,1,1,0
2014,28,2,38,0.61,5.22,61631,1,1,1,0
2014,28,3,38,0.61,5.22,61631,1,1,1,0
2014,29,1,47,0.53,0.35,402799,2,1,1,0
2014,29,2,47,0.53,0.35,402799,2,1,1,0
2014,29,3,47,0.53,0.35,402799,2,1,1,0
2014,31,1,56,0.38,5.48,16906,1,2,1,2
2014,31,2,56,0.38,5.48,16906,1,2,1,1
2014,31,3,56,0.38,5.48,16906,1,2,1,0
2014,32,1,29,0.55,0.64,279255,1,2,2,2
2014,32,2,29,0.55,0.64,279255,1,2,2,2
2014,32,3,29,0.55,0.64,279255,1,2,2,4
2015,1,1,47,0.5,10.08,127613,3,2,2,0
2015,1,2,47,0.5,10.08,127613,3,2,2,2
2015,1,3,47,0.5,10.08,127613,3,2,2,0
2015,3,1,31,0,10.93,131907,3,2,1,1
2015,3,2,31,0,10.93,131907,3,2,1,0
2015,3,3,31,0,10.93,131907,3,2,1,0
2015,6,1,58,0.03,9.7,6097,1,2,2,0
2015,6,3,58,0.03,9.7,6097,1,2,2,0
2015,8,1,40,0.35,4.24,134394,1,2,2,0
2015,8,2,40,0.35,4.24,134394,1,2,2,0
2015,8,3,40,0.35,4.24,134394,1,2,2,0
2015,10,1,88,1.07,17.05,151721,3,1,1,0
