Year,SpecChickNumber,NestID,CapNest 
1995,NA,NA,0
1996,NA,NA,0
1997,NA,NA,0
1998,NA,NA,0
1999,NA,NA,0
2000,NA,NA,0
2001,NA,NA,0
2002,NA,NA,0
2003,NA,NA,0
2004,NA,NA,0
2005,NA,NA,0
2006,NA,NA,0
2007,NA,NA,0
2008,NA,NA,0
2009,NA,NA,0
2010,NA,NA,0
2011,NA,NA,0
2012,NA,NA,0
2013,NA,NA,0
2014,NA,NA,0
2015,NA,NA,0
2016,NA,NA,0
2017,NA,NA,0
2018,0,AMCO2,1
2018,0,OLNO1,1
2018,0,OLNO2,1
2018,0,OLNO3,0
2018,0,OLNO4,1
2018,0,OLSL1,0
2018,0,POWL2,1
2018,4,BELA1,1
2018,3,OLSO1,1
2018,4,POWL1,1
2018,4,WEPO_01,0
2019,0,AMCO_01,1
2019,4,CLIT_01,0
2019,0,ERF_01,1
2019,0,CLIT_02,0
2019,3,JOHNS_01,0
2019,0,KINC_01,0
2019,3,WEPO_01,1
2019,3,KINC_02,1
2019,0,OLSO_01,1
2019,3,CLIT_03,1
2019,4,OCPA_01,1
2019,4,CLIT_04,0
2019,3,AMCO_02,0
2019,3,AMCO_03,0
2019,4,CLIT_05,0
2020,0,CLIT-01-2020,0
2020,0,AMCO_005,0
2020,0,CLIT-02-2020,0
2020,0,EB-02-2020,0
2020,0,Ocean1-2020,0
2020,3,Ocean2-2020,0
2020,3,AMCO_001,0
2020,4,AMCO_002,0
2020,4,AMCO_003,0
2020,4,AMCO_004,0
2020,4,OLNO_001,0
2020,4,WEPO_001,0
2020,3,HAMO_001,0
2020,2,Kincaid 1_2020,0
2020,0,EB-03-2020,0
2020,3,CLIT_03_2020,0
2020,4,EB-04-2020,0
2020,4,CLIT-05-2020,0
2020,4,EB-01-2020,0
2021,0,RASP_02,0
2021,3,RASP_01,0
2021,4,CLIT_02,0
2021,4,OLSO_01,0
2021,0,OLNO_01,0
2021,4,OLNO_02,0
2021,4,AMCO_07,0
2021,4,AMCO_06,0
2021,4,AMCO_05,0
2021,4,AMCO_02,0
2021,4,AMCO_03,0
2021,4,AMCO_01,0
2021,4,AMCO_04,0
2021,2,EQBO_01,0
2021,0,AMCO_08,0
2022,3,CLIT-02,0
2022,4,RASP-01,0
2022,3,CLIT-01,0
2022,3,RASP-02,0
2022,4,OCNV-01,0
2023,4,CLIT-01,0
2023,4,OCEAN-01,0
2024,4,OCEAN-01,0
2024,4,CLITH-01,0
2024,4,CLITH-02,0
2025,3,OCEAN-01,0
2025,0,OCEAN-02,0
2025,4,EARTH-1,0
2026,0,EABO-01,0
2026,2,CLITH-02,0
2026,4,CLITH-01,0
2026,3,OCEAN-01,0
