Band_Number,Study_Region,Geo,GPS,Tag_type,Carried_tag,init_mass,mean_wing,mean_tot_head,mean_tarsus,Otter_18,Resight_effort,Sex.f,Sex,yr_banded,f,h
45,,1,1,1,1,85,,,,1,2,Male,2,1995,1,30
35,,1,1,1,1,79,,,,1,2,Male,2,1995,1,30
36,,1,1,1,1,91,,,,1,2,Female,1,1995,1,30
48,,1,1,1,1,87,,,,1,2,Male,2,1995,1,30
49,,1,1,1,1,89,,,,1,2,Female,1,1995,1,30
32,,1,1,1,1,85.5,,,,1,2,Female,1,1995,1,30
33,,1,1,1,1,84,,,,1,2,Male,2,1995,1,30
38,,1,1,1,1,80,,,,1,2,Male,2,1995,1,30
37,,1,1,1,1,72,,,,1,2,Male,2,1995,1,30
84,,1,1,1,1,81,,,,1,2,Male,2,1996,2,30
85,,1,1,1,1,89,,,,1,2,Female,1,1996,2,30
67,,1,1,1,1,70,,,,1,2,Male,2,1996,2,30
91,,1,1,1,1,79,,,,1,2,Male,2,1996,2,30
92,,1,1,1,1,89,,,,1,2,Female,1,1996,2,30
70,,1,1,1,1,71.5,,,,1,2,Unknown,3,1996,2,30
75,,1,1,1,1,78,,,,1,2,Male,2,1996,2,30
97,,1,1,1,1,79,,,,1,2,Male,2,1996,2,30
96,,1,1,1,1,79,,,,1,2,Female,1,1996,2,30
99,,1,1,1,1,86,,,,1,2,Male,2,1996,2,30
95,,1,1,1,1,87,,,,1,2,Male,2,1996,2,30
68,,1,1,1,1,85,,,,1,2,Female,1,1996,2,30
69,,1,1,1,1,81,,,,1,2,Female,1,1996,2,30
98,,1,1,1,1,82,,,,1,2,Male,2,1996,2,30
78,,1,1,1,1,78.5,,,,1,2,Male,2,1996,2,30
79,,1,1,1,1,78.5,,,,1,2,Female,1,1996,2,30
73,,1,1,1,1,76.5,,,,1,2,Female,1,1996,2,30
100,,1,1,1,1,92,,,,1,2,Female,1,1996,2,30
65,,1,1,1,1,86.5,,,,1,2,Female,1,1996,2,30
80,,1,1,1,1,93.5,,,,1,2,Male,2,1996,2,30
103,,1,1,1,1,69.5,,,,1,2,Male,2,1996,2,30
104,,1,1,1,1,82.5,,,,1,2,Female,1,1996,2,30
58,,1,1,1,1,80,,,,1,2,Male,2,1996,2,30
88,,1,1,1,1,72.5,,,,1,2,Female,1,1996,2,30
87,,1,1,1,1,79.5,,,,1,2,Male,2,1996,2,30
66,,1,1,1,1,71.5,,,,1,2,Male,2,1996,2,30
90,,1,1,1,1,86,,,,1,2,Female,1,1996,2,30
