band_number,year_banded,2018,2019,2020,2021,2022,2023,2024,2025,2026
123233865,2018,1,0,0,0,0,0,0,0,0
123233866,2018,1,0,0,0,0,0,0,0,0
123233867,2018,1,0,0,0,0,0,0,0,0
123233868,2018,1,0,0,0,0,0,0,0,0
123233890,2018,1,0,0,0,0,0,0,0,0
123233891,2018,1,0,0,0,0,0,0,0,0
123233892,2018,1,0,0,0,0,0,0,0,0
123233894,2018,1,0,0,0,0,0,0,0,0
129231763,2018,1,0,0,0,0,0,0,0,0
129231764,2018,1,0,0,0,0,0,0,0,0
129231765,2018,1,0,0,0,0,0,0,0,0
129231768,2018,1,0,0,0,0,0,0,0,0
129231773,2018,1,0,0,0,0,0,0,0,0
129231774,2018,1,0,0,0,0,0,0,0,0
123233896,2018,1,0,0,0,0,0,0,0,0
129231778,2018,1,0,0,0,0,0,0,0,0
129231781,2018,1,0,0,0,0,0,0,0,0
129231782,2018,1,0,0,0,0,0,0,0,0
129231783,2018,1,0,0,0,0,0,0,0,0
129231784,2018,1,0,0,0,0,0,0,0,0
129231786,2018,1,0,0,0,0,0,0,0,0
129231795,2018,1,0,0,0,0,0,0,0,0
129231794,2018,1,0,0,0,0,0,0,0,0
129231981,2019,NA,1,0,0,0,0,0,0,0
129231982,2019,NA,1,0,0,0,0,0,0,0
129231983,2019,NA,1,0,0,0,0,0,0,0
129231986,2019,NA,1,0,0,0,0,0,0,0
129231987,2019,NA,1,0,0,0,0,0,0,0
129231988,2019,NA,1,0,0,0,0,0,0,0
129231989,2019,NA,1,0,0,0,0,0,0,0
129231992,2019,NA,1,0,1,0,0,0,0,0
129231993,2019,NA,1,0,1,0,0,0,0,0
129231977,2019,NA,1,0,0,0,0,0,0,0
129231978,2019,NA,1,0,0,0,0,0,0,0
129231979,2019,NA,1,0,0,0,0,0,0,0
129231789,2019,NA,1,0,0,0,0,0,0,0
129231796,2019,NA,1,0,0,0,0,0,0,0
129231798,2019,NA,1,0,0,0,0,0,0,0
129231799,2019,NA,1,0,0,0,0,0,0,0
129231915,2019,NA,1,0,0,0,0,0,0,0
129231916,2019,NA,1,0,0,0,0,0,0,0
129231917,2019,NA,1,0,0,0,0,0,0,0
122274500,2019,NA,1,0,0,0,0,0,0,0
122274439,2019,NA,1,0,0,0,0,0,0,0
122274418,2019,NA,1,0,0,0,0,0,0,0
123233900,2019,NA,1,0,0,0,0,0,0,0
129231921,2019,NA,1,0,0,0,0,0,0,0
122274420,2019,NA,1,0,0,0,0,0,0,0
122274421,2019,NA,1,0,0,0,0,0,0,0
129231901,2019,NA,1,0,0,0,0,0,0,0
122274438,2019,NA,1,0,0,0,0,0,0,0
122275047,2020,NA,NA,1,0,0,0,0,0,0
122275048,2020,NA,NA,1,0,0,0,0,0,0
122275049,2020,NA,NA,1,0,0,0,0,0,0
122275050,2020,NA,NA,1,0,0,0,0,0,0
122275053,2020,NA,NA,1,0,0,0,0,0,0
122275054,2020,NA,NA,1,0,0,0,0,0,0
122275055,2020,NA,NA,1,0,0,0,0,0,0
122275056,2020,NA,NA,1,0,0,0,0,0,0
122275059,2020,NA,NA,1,0,0,0,0,0,0
122275060,2020,NA,NA,1,0,0,0,0,0,0
122275061,2020,NA,NA,1,0,0,0,0,0,0
122275062,2020,NA,NA,1,0,0,0,0,0,0
122275064,2020,NA,NA,1,0,0,0,0,0,0
122275065,2020,NA,NA,1,0,0,0,0,0,0
122275067,2020,NA,NA,1,0,0,0,0,0,0
122275068,2020,NA,NA,1,0,0,0,0,0,0
122275069,2020,NA,NA,1,0,0,0,0,0,0
122275070,2020,NA,NA,1,0,0,0,0,0,0
122275077,2020,NA,NA,1,0,0,0,0,0,0
129231908,2020,NA,NA,1,0,0,1,0,0,0
122275031,2020,NA,NA,1,0,0,0,0,0,0
122275033,2020,NA,NA,1,0,0,0,0,0,0
122275034,2020,NA,NA,1,0,0,0,0,0,0
122275035,2020,NA,NA,1,0,0,0,0,0,0
122275036,2020,NA,NA,1,0,0,0,0,0,0
122275039,2020,NA,NA,1,0,0,0,0,0,0
122275040,2020,NA,NA,1,0,0,0,0,0,0
122275041,2020,NA,NA,1,0,0,0,0,0,0
122275007,2020,NA,NA,1,0,0,0,0,0,0
122275008,2020,NA,NA,1,0,0,0,0,0,0
122275009,2020,NA,NA,1,0,0,0,0,0,0
122275012,2020,NA,NA,1,0,0,0,0,0,0
122275015,2020,NA,NA,1,0,0,0,0,0,0
122275016,2020,NA,NA,1,0,0,0,0,0,0
122275017,2020,NA,NA,1,0,0,0,0,0,0
122275018,2020,NA,NA,1,0,0,0,0,0,0
122275043,2020,NA,NA,1,0,0,0,0,0,0
122275044,2020,NA,NA,1,0,0,0,0,0,0
dguldgll1,2020,NA,NA,1,0,0,0,0,0,0
