Name,Year banded,Loc,Sex,1995,1996,1997,1998,1999,2000
Firehouse Blue,1995,A,U,1,0,1,0,0,0
Firehouse Orange,1995,A,U,1,0,1,0,0,0
Connors' Kid,1995,A,F,1,0,1,1,1,0
Soccer Kid,1995,A,M,1,1,1,1,0,0
Midnight's Children,1996,S,U,0,1,0,NA,NA,NA
Connor's Kid,1997,A,M,0,0,1,1,0,0
Turnagain Kid,1997,A,M,0,0,1,0,1,1
Nordic kid,1997,A,F,0,0,1,1,0,0
Detox Kid,1997,A,U,0,0,1,1,0,0
Fancy Kid,1997,A,U,0,0,1,0,1,0
Crane Kid,1997,A,U,0,0,1,0,0,1
Cairo Kid,1998,A,U,0,0,0,1,1,0
Ft. Rich,1997,A,U,0,0,1,NA,NA,NA
Mystery,1998,A,U,0,0,0,1,NA,NA
Returning Kid,1998,A,U,0,0,0,1,0,1
Horsefly Kid,1997,S-A,U,0,0,1,1,0,1
Unresighted_1995_1,1995,A,M,1,0,0,0,0,0
Unresighted_1995_2,1995,A,M,1,0,0,0,0,0
Unresighted_1995_3,1995,A,F,1,0,0,0,0,0
Unresighted_1995_4,1995,A,M,1,0,0,0,0,0
Unresighted_1995_5,1995,A,M,1,0,0,0,0,0
Unresighted_1995_6,1995,A,F,1,0,0,0,0,0
Unresighted_1995_7,1995,A,M,1,0,0,0,0,0
Unresighted_1995_8,1995,A,F,1,0,0,0,0,0
Unresighted_1995_9,1995,A,M,1,0,0,0,0,0
Unresighted_1995_10,1995,A,F,1,0,0,0,0,0
Unresighted_1995_11,1995,A,M,1,0,0,0,0,0
Unresighted_1995_12,1995,A,M,1,0,0,0,0,0
Unresighted_1995_13,1995,A,M,1,0,0,0,0,0
Unresighted_1995_14,1995,A,F,1,0,0,0,0,0
Unresighted_1995_15,1995,A,M,1,0,0,0,0,0
Unresighted_1995_16,1995,A,F,1,0,0,0,0,0
Unresighted_1995_17,1995,A,F,1,0,0,0,0,0
Unresighted_1995_18,1995,A,M,1,0,0,0,0,0
Unresighted_1995_19,1995,A,M,1,0,0,0,0,0
Unresighted_1995_20,1995,A,F,1,0,0,0,0,0
Unresighted_1995_21,1995,A,M,1,0,0,0,0,0
Unresighted_1995_22,1995,A,F,1,0,0,0,0,0
Unresighted_1995_23,1995,A,M,1,0,0,0,0,0
Unresighted_1995_24,1995,A,F,1,0,0,0,0,0
Unresighted_1995_25,1995,A,M,1,0,0,0,0,0
Unresighted_1995_26,1995,A,M,1,0,0,0,0,0
Unresighted_1995_27,1995,A,M,1,0,0,0,0,0
Unresighted_1995_28,1995,A,M,1,0,0,0,0,0
Unresighted_1995_29,1995,A,F,1,0,0,0,0,0
Unresighted_1995_30,1995,A,M,1,0,0,0,0,0
Unresighted_1995_31,1995,A,F,1,0,0,0,0,0
Unresighted_1995_32,1995,A,M,1,0,0,0,0,0
Unresighted_1995_33,1995,A,F,1,0,0,0,0,0
Unresighted_1996_1,1996,A,M,0,1,0,0,0,0
Unresighted_1996_2,1996,A,M,0,1,0,0,0,0
Unresighted_1996_3,1996,A,F,0,1,0,0,0,0
Unresighted_1996_4,1996,A,F,0,1,0,0,0,0
Unresighted_1996_5,1996,A,F,0,1,0,0,0,0
Unresighted_1996_6,1996,A,M,0,1,0,0,0,0
Unresighted_1996_7,1996,A,M,0,1,0,0,0,0
Unresighted_1996_8,1996,A,F,0,1,0,0,0,0
Unresighted_1996_9,1996,A,M,0,1,0,0,0,0
Unresighted_1996_10,1996,A,M,0,1,0,0,0,0
Unresighted_1996_11,1996,A,F,0,1,0,0,0,0
Unresighted_1996_12,1996,A,M,0,1,0,0,0,0
Unresighted_1996_13,1996,A,F,0,1,0,0,0,0
Unresighted_1996_14,1996,A,F,0,1,0,0,0,0
Unresighted_1996_15,1996,A,F,0,1,0,0,0,0
Unresighted_1996_16,1996,A,F,0,1,0,0,0,0
Unresighted_1996_17,1996,A,F,0,1,0,0,0,0
Unresighted_1996_18,1996,A,F,0,1,0,0,0,0
Unresighted_1996_19,1996,A,M,0,1,0,0,0,0
Unresighted_1996_20,1996,A,F,0,1,0,0,0,0
Unresighted_1996_21,1996,A,M,0,1,0,0,0,0
Unresighted_1996_22,1996,A,F,0,1,0,0,0,0
Unresighted_1996_23,1996,A,F,0,1,0,0,0,0
Unresighted_1996_24,1996,A,F,0,1,0,0,0,0
Unresighted_1996_25,1996,A,M,0,1,0,0,0,0
Unresighted_1996_26,1996,A,F,0,1,0,0,0,0
Unresighted_1996_27,1996,A,M,0,1,0,0,0,0
Unresighted_1996_28,1996,A,M,0,1,0,0,0,0
Unresighted_1996_29,1996,A,F,0,1,0,0,0,0
Unresighted_1996_30,1996,A,F,0,1,0,0,0,0
Unresighted_1996_31,1996,A,M,0,1,0,0,0,0
Unresighted_1996_32,1996,A,M,0,1,0,0,0,0
Unresighted_1996_33,1996,A,F,0,1,0,0,0,0
Unresighted_1997_1,1997,A,F,0,0,1,0,0,0
Unresighted_1997_2,1997,A,M,0,0,1,0,0,0
Unresighted_1997_3,1997,A,M,0,0,1,0,0,0
Unresighted_1997_4,1997,A,F,0,0,1,0,0,0
Unresighted_1997_5,1997,A,M,0,0,1,0,0,0
Unresighted_1997_6,1997,A,M,0,0,1,0,0,0
Unresighted_1997_7,1997,A,F,0,0,1,0,0,0
Unresighted_1997_8,1997,A,F,0,0,1,0,0,0
Unresighted_1997_9,1997,A,M,0,0,1,0,0,0
Unresighted_1997_10,1997,A,M,0,0,1,0,0,0
Unresighted_1997_11,1997,A,M,0,0,1,0,0,0
Unresighted_1997_12,1997,A,F,0,0,1,0,0,0
Unresighted_1998_1,1998,A,F,0,0,0,1,0,0
Unresighted_1998_2,1998,A,F,0,0,0,1,0,0
Unresighted_1998_3,1998,A,F,0,0,0,1,0,0
Unresighted_1998_4,1998,A,F,0,0,0,1,0,0
Unresighted_1998_5,1998,A,F,0,0,0,1,0,0
Unresighted_1998_6,1998,A,M,0,0,0,1,0,0
Unresighted_1998_7,1998,A,F,0,0,0,1,0,0
Unresighted_1998_8,1998,A,F,0,0,0,1,0,0
Unresighted_1998_9,1998,A,M,0,0,0,1,0,0
Unresighted_1998_10,1998,A,M,0,0,0,1,0,0
Unresighted_1998_11,1998,A,F,0,0,0,1,0,0
Unresighted_1998_12,1998,A,F,0,0,0,1,0,0
Unresighted_1998_13,1998,A,M,0,0,0,1,0,0
Unresighted_1998_14,1998,A,M,0,0,0,1,0,0
Unresighted_1998_15,1998,A,M,0,0,0,1,0,0
Unresighted_1998_16,1998,A,M,0,0,0,1,0,0
Unresighted_1998_17,1998,A,F,0,0,0,1,0,0
Unresighted_1998_18,1998,A,M,0,0,0,1,0,0
Unresighted_1998_19,1998,A,M,0,0,0,1,0,0
Unresighted_1998_20,1998,A,M,0,0,0,1,0,0
Unresighted_1998_21,1998,A,M,0,0,0,1,0,0
Unresighted_1998_22,1998,A,F,0,0,0,1,0,0
Unresighted_1998_23,1998,A,F,0,0,0,1,0,0
Unresighted_1998_24,1998,A,M,0,0,0,1,0,0
Unresighted_1998_25,1998,A,M,0,0,0,1,0,0
Unresighted_1998_26,1998,A,F,0,0,0,1,0,0
Unresighted_1998_27,1998,A,M,0,0,0,1,0,0
Unresighted_1998_28,1998,A,M,0,0,0,1,0,0
Unresighted_1998_29,1998,A,F,0,0,0,1,0,0
Unresighted_1998_30,1998,A,F,0,0,0,1,0,0
Unresighted_1998_31,1998,A,F,0,0,0,1,0,0
Unresighted_1998_32,1998,A,M,0,0,0,1,0,0
Unresighted_1998_33,1998,A,F,0,0,0,1,0,0
Unresighted_1998_34,1998,A,F,0,0,0,1,0,0
Unresighted_1998_35,1998,A,M,0,0,0,1,0,0
Unresighted_1998_36,1998,A,F,0,0,0,1,0,0
Unresighted_1998_37,1998,A,F,0,0,0,1,0,0
Unresighted_1998_38,1998,A,F,0,0,0,1,0,0
Unresighted_1998_39,1998,A,F,0,0,0,1,0,0
Unresighted_1998_40,1998,A,F,0,0,0,1,0,0
Unresighted_1998_41,1998,A,F,0,0,0,1,0,0
Unresighted_1998_42,1998,A,M,0,0,0,1,0,0
Unresighted_1998_43,1998,A,M,0,0,0,1,0,0
Unresighted_1998_44,1998,A,F,0,0,0,1,0,0
Unresighted_1998_45,1998,A,M,0,0,0,1,0,0
