pointid,Year,SurveyCode,Observer,Species,Distance,DistBinned,Period,Num_indiv,Dist_stdz,Time_stdz,DOY,MinSunrise,MinNadir,surveyid,obsrep,dclass,tinterval
ORBBS_611_5,2017,ORBBS_611_52017,"Pajot, Lisa M",LEYE,10,20,5,1,10,5,176,93,233,1855,1,1,2
ORBBS_606_3,2006,ORBBS_606_32006,"Handel, Colleen M",LEYE,20,20,3,1,20,3,168,109,250,1321,1,1,1
ORBBS_609_10,2015,ORBBS_609_102015,"Pajot, Lisa M",LEYE,40,40,8,1,40,8,162,197,342,1384,1,3,3
ORBBS_611_5,2013,ORBBS_611_52013,"Pajot, Lisa M",LEYE,40,40,8,1,40,8,173,92,231,1852,1,3,3
ORBBS_611_5,2017,ORBBS_611_52017,"Pajot, Lisa M",LEYE,40,40,3,1,40,3,176,93,233,1855,1,3,1
ORBBS_601_12,1996,ORBBS_601_121996,"Ricketts, Julia C",LEYE,49.5,50,0-3MIN,1,NA,3,168,165,306,291,1,4,1
ORBBS_601_3,1994,ORBBS_601_31994,"Ricketts, Julia C",LEYE,49.5,50,0-3MIN,1,NA,3,144,47,222,332,6,4,1
ORBBS_601_3,1994,ORBBS_601_31994,"Ricketts, Julia C",LEYE,49.5,50,0-3MIN,1,NA,3,166,56,197,332,4,4,1
ORBBS_601_7,1998,ORBBS_601_71998,"Parkinson, Kristina A",LEYE,49.5,50,3-5MIN,1,NA,5,161,196,342,668,2,4,2
ORBBS_613_3,2000,ORBBS_613_32000,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,174,46,185,701,1,4,1
ORBBS_613_3,2000,ORBBS_613_32000,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,174,46,185,701,1,4,1
ORBBS_601_9,1995,ORBBS_601_91995,"Ricketts, Julia C",LEYE,49.5,50,0-3MIN,1,NA,3,131,132,339,859,7,4,1
ORBBS_601_9,1995,ORBBS_601_91995,"Ricketts, Julia C",LEYE,49.5,50,0-3MIN,1,NA,3,131,132,339,859,7,4,1
ORBBS_606_7,2000,ORBBS_606_72000,"Handel, Colleen M",LEYE,49.5,50,0-3MIN,1,NA,3,172,150,290,1156,1,4,1
ORBBS_609_4,1996,ORBBS_609_41996,"Seppi, Bruce E",LEYE,49.5,50,0-3MIN,1,NA,3,141,145,327,1179,2,4,1
ORBBS_609_3,1995,ORBBS_609_31995,"Sotak, Diane L",LEYE,49.5,50,0-3MIN,1,NA,3,138,42,231,1194,4,4,1
ORBBS_609_9,2000,ORBBS_609_92000,"Senner, Nathan R",LEYE,49.5,50,3-5MIN,1,NA,5,173,170,310,1256,1,4,2
ORBBS_609_10,1996,ORBBS_609_101996,"Seppi, Bruce E",LEYE,49.5,50,0-3MIN,1,NA,3,155,331,485,1394,4,4,1
ORBBS_603_3,1998,ORBBS_603_31998,"Parkinson, Kristina A",LEYE,49.5,50,0-3MIN,1,NA,3,174,63,202,1505,1,4,1
ORBBS_607_4,2000,ORBBS_607_42000,"Handel, Colleen M",LEYE,49.5,50,3-5MIN,1,NA,5,126,130,349,2128,2,4,2
ORBBS_607_4,1997,ORBBS_607_41997,"Handel, Colleen M",LEYE,49.5,50,3-5MIN,1,NA,5,178,115,253,2132,1,4,2
ORBBS_607_4,1999,ORBBS_607_41999,"Bartecchi, Kristen M",LEYE,49.5,50,0-3MIN,1,NA,3,175,220,357,2134,2,4,1
ORBBS_607_4,1999,ORBBS_607_41999,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,175,217,354,2134,1,4,1
ORBBS_607_4,1999,ORBBS_607_41999,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,175,217,354,2134,1,4,1
ORBBS_607_7,1999,ORBBS_607_71999,"Bartecchi, Kristen M",LEYE,49.5,50,0-3MIN,1,NA,3,175,290,427,2248,1,4,1
ORBBS_607_7,1999,ORBBS_607_71999,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,175,291,428,2248,2,4,1
ORBBS_607_7,1999,ORBBS_607_71999,"Pajot, Lisa M",LEYE,49.5,50,0-3MIN,1,NA,3,175,291,428,2248,2,4,1
ORBBS_606_7,2008,ORBBS_606_72008,"Handel, Colleen M",LEYE,50,50,3,1,50,3,172,186,326,1145,1,4,1
ORBBS_613_11,2008,ORBBS_613_112008,"Pajot, Lisa M",LEYE,60,60,5,1,60,5,176,234,374,184,1,5,2
ORBBS_613_12,2008,ORBBS_613_122008,"Pajot, Lisa M",LEYE,60,60,5,1,60,5,176,250,390,419,1,5,2
ORBBS_606_7,2002,ORBBS_606_72002,"Senner, Nathan R",LEYE,60,60,3,1,60,3,168,73,214,1142,1,5,1
ORBBS_606_5,2002,ORBBS_606_52002,"Senner, Nathan R",LEYE,60,60,3,1,60,3,168,45,186,1221,1,5,1
ORBBS_606_3,2004,ORBBS_606_32004,"Handel, Colleen M",LEYE,60,60,5,1,60,5,166,85,226,1320,1,5,2
ORBBS_607_3,2018,ORBBS_607_32018,"Handel, Colleen M",LEYE,60,60,3,1,60,3,180,107,247,2068,1,5,1
ORBBS_613_10,2008,ORBBS_613_102008,"Pajot, Lisa M",LEYE,70,70,3,1,70,3,176,220,360,164,1,6,1
ORBBS_606_7,2006,ORBBS_606_72006,"Handel, Colleen M",LEYE,70,70,3,1,70,3,168,245,386,1144,1,6,1
ORBBS_611_5,2015,ORBBS_611_52015,"Pajot, Lisa M",LEYE,70,70,3,1,70,3,175,102,241,1854,1,6,1
ORBBS_606_6,2008,ORBBS_606_62008,"Handel, Colleen M",LEYE,80,80,3,1,80,3,172,159,299,1088,1,7,1
ORBBS_606_7,2010,ORBBS_606_72010,"Handel, Colleen M",LEYE,80,80,3,1,80,3,175,225,365,1146,1,7,1
ORBBS_606_2,2004,ORBBS_606_22004,"Handel, Colleen M",LEYE,80,80,5,1,80,5,166,63,204,1359,1,7,2
ORBBS_611_12,2014,ORBBS_611_122014,"Pajot, Lisa M",LEYE,90,100,8,1,90,8,173,221,360,2001,1,8,3
ORBBS_601_3,2010,ORBBS_601_32010,"Handel, Colleen M",LEYE,100,100,5,1,100,5,161,73,219,323,1,8,2
ORBBS_613_7,2016,ORBBS_613_72016,"Pajot, Lisa M",LEYE,100,100,3,1,100,3,174,139,278,366,1,8,1
ORBBS_606_6,2006,ORBBS_606_62006,"Handel, Colleen M",LEYE,100,100,3,1,100,3,168,214,355,1087,1,8,1
ORBBS_606_8,2002,ORBBS_606_82002,"Senner, Nathan R",LEYE,100,100,5,1,100,5,168,85,226,1104,1,8,2
ORBBS_606_7,2001,ORBBS_606_72001,"Senner, Nathan R",LEYE,100,100,5,1,100,5,166,104,245,1141,1,8,2
ORBBS_606_5,2006,ORBBS_606_52006,"Handel, Colleen M",LEYE,100,100,5,1,100,5,168,183,324,1223,1,8,2
ORBBS_607_4,2001,ORBBS_607_42001,"Cotter, Paul A",LEYE,100,100,3,1,100,3,173,98,234,2116,1,8,1
ORBBS_601_9,2018,ORBBS_601_92018,"Handel, Colleen M",LEYE,125,125,5,1,125,5,165,237,379,857,1,9,2
ORBBS_606_7,2004,ORBBS_606_72004,"Handel, Colleen M",LEYE,125,125,3,1,125,3,166,205,346,1143,1,9,1
ORBBS_606_5,2010,ORBBS_606_52010,"Handel, Colleen M",LEYE,125,125,8,1,125,8,175,148,288,1225,1,9,3
ORBBS_611_12,2015,ORBBS_611_122015,"Pajot, Lisa M",LEYE,125,125,8,1,125,8,175,235,374,2002,1,9,3
ORBBS_607_3,2020,ORBBS_607_32020,"Handel, Colleen M",LEYE,125,125,8,1,125,8,175,117,253,2069,1,9,3
ORBBS_607_4,2018,ORBBS_607_42018,"Handel, Colleen M",LEYE,125,125,3,1,125,3,180,149,289,2125,1,9,1
ORBBS_607_4,2020,ORBBS_607_42020,"Handel, Colleen M",LEYE,125,125,8,1,125,8,175,143,279,2126,1,9,3
ORBBS_607_10,2004,ORBBS_607_102004,"Handel, Colleen M",LEYE,125,125,5,1,125,5,170,328,464,2137,1,9,2
ORBBS_607_7,2006,ORBBS_607_72006,"Handel, Colleen M",LEYE,125,125,3,1,125,3,171,244,380,2233,1,9,1
