pointid,Project,Block,Point,Year,Date,StartTime,Observer,DOY
ORBBS_602_8,ORBBS,602,8,2001,6/15/2001,6:47,"Cotter, Paul A",166
ORBBS_602_8,ORBBS,602,8,2002,6/18/2002,6:30,"Cotter, Paul A",169
ORBBS_602_8,ORBBS,602,8,2004,6/16/2004,8:39,"Handel, Colleen M",168
ORBBS_602_8,ORBBS,602,8,2006,6/14/2006,9:03,"Handel, Colleen M",165
ORBBS_602_8,ORBBS,602,8,2008,6/19/2008,9:03,"Handel, Colleen M",171
ORBBS_602_8,ORBBS,602,8,2010,6/14/2010,8:22,"Handel, Colleen M",165
ORBBS_602_8,ORBBS,602,8,2012,6/18/2012,8:48,"Handel, Colleen M",170
ORBBS_602_8,ORBBS,602,8,2013,6/20/2013,9:02,"Handel, Colleen M",171
ORBBS_602_8,ORBBS,602,8,2014,6/16/2014,7:44,"Handel, Colleen M",167
ORBBS_602_8,ORBBS,602,8,2016,6/15/2016,7:03,"Pajot, Lisa M",167
ORBBS_602_8,ORBBS,602,8,2018,6/20/2018,8:21,"Handel, Colleen M",171
ORBBS_602_8,ORBBS,602,8,2020,6/17/2020,7:41,"Handel, Colleen M",169
ORBBS_602_8,ORBBS,602,8,1996,6/22/1996,6:01,"Scott, Hustace  H",174
ORBBS_602_8,ORBBS,602,8,1995,6/28/1995,6:10,"deZeeuw, Maureen L",179
ORBBS_602_8,ORBBS,602,8,1994,6/27/1994,6:33,"Handel, Colleen M",178
ORBBS_602_8,ORBBS,602,8,1995,6/15/1995,6:37,"Matsuoka, Steve M",166
ORBBS_602_8,ORBBS,602,8,1999,6/17/1999,6:40,"Matsuoka, Steve M",168
ORBBS_602_8,ORBBS,602,8,1995,6/2/1995,6:46,"Sotak, Diane L",153
ORBBS_602_8,ORBBS,602,8,1996,6/17/1996,6:50,"Matsuoka, Steve M",169
ORBBS_602_8,ORBBS,602,8,1993,6/26/1993,6:59,JDMason,177
ORBBS_602_8,ORBBS,602,8,1994,5/31/1994,7:00,"Ricketts, Julia C",151
ORBBS_602_8,ORBBS,602,8,1994,6/15/1994,7:06,"Krajcirik, Lisa M",166
ORBBS_602_8,ORBBS,602,8,1995,5/27/1995,7:07,"Matsuoka, Steve M",147
ORBBS_602_8,ORBBS,602,8,2000,6/16/2000,7:10,"Handel, Colleen M",168
ORBBS_602_8,ORBBS,602,8,1996,5/28/1996,7:11,"Matsuoka, Steve M",149
ORBBS_602_8,ORBBS,602,8,1995,5/22/1995,7:11,"Matsuoka, Steve M",142
ORBBS_602_8,ORBBS,602,8,1993,5/24/1993,7:18,"Matsuoka, Steve M",144
ORBBS_602_8,ORBBS,602,8,1994,5/24/1994,7:25,"Handel, Colleen M",144
ORBBS_602_8,ORBBS,602,8,1997,6/22/1997,7:25,"Handel, Colleen M",173
ORBBS_602_8,ORBBS,602,8,1996,5/22/1996,7:27,"Matsuoka, Steve M",143
ORBBS_602_8,ORBBS,602,8,1993,6/17/1993,7:29,"Matsuoka, Steve M",168
ORBBS_602_8,ORBBS,602,8,1996,6/9/1996,7:30,"Handel, Colleen M",161
ORBBS_602_8,ORBBS,602,8,1996,5/13/1996,7:32,"Matsuoka, Steve M",134
ORBBS_602_8,ORBBS,602,8,1993,6/4/1993,7:32,JDMason,155
ORBBS_602_8,ORBBS,602,8,1996,5/18/1996,7:35,"Matsuoka, Steve M",139
ORBBS_602_8,ORBBS,602,8,1996,5/7/1996,7:38,"Matsuoka, Steve M",128
ORBBS_602_8,ORBBS,602,8,1993,5/28/1993,7:38,"Matsuoka, Steve M",148
ORBBS_602_8,ORBBS,602,8,1995,5/16/1995,7:41,"Matsuoka, Steve M",136
ORBBS_602_8,ORBBS,602,8,1994,5/9/1994,7:42,"Handel, Colleen M",129
ORBBS_602_8,ORBBS,602,8,1995,5/11/1995,7:44,"Matsuoka, Steve M",131
ORBBS_602_8,ORBBS,602,8,1998,6/17/1998,7:45,"Handel, Colleen M",168
ORBBS_602_8,ORBBS,602,8,1998,6/17/1998,7:45,"Troyer, Janice K",168
ORBBS_602_8,ORBBS,602,8,1995,5/8/1995,7:46,"Matsuoka, Steve M",128
ORBBS_602_8,ORBBS,602,8,1993,5/14/1993,7:59,"Matsuoka, Steve M",134
ORBBS_602_8,ORBBS,602,8,1993,5/20/1993,8:18,"Handel, Colleen M",140
ORBBS_602_8,ORBBS,602,8,1994,5/27/1994,8:23,"Handel, Colleen M",147
ORBBS_602_8,ORBBS,602,8,1993,5/7/1993,8:24,"Matsuoka, Steve M",127
ORBBS_602_8,ORBBS,602,8,1994,5/5/1994,8:29,"Handel, Colleen M",125
ORBBS_602_8,ORBBS,602,8,1994,5/13/1994,8:51,"Handel, Colleen M",133
ORBBS_602_8,ORBBS,602,8,1994,5/17/1994,8:54,"Handel, Colleen M",137
ORBBS_602_7,ORBBS,602,7,2001,6/15/2001,6:30,"Cotter, Paul A",166
ORBBS_602_7,ORBBS,602,7,2002,6/18/2002,6:17,"Cotter, Paul A",169
ORBBS_602_7,ORBBS,602,7,2004,6/16/2004,8:11,"Handel, Colleen M",168
ORBBS_602_7,ORBBS,602,7,2006,6/14/2006,8:39,"Handel, Colleen M",165
ORBBS_602_7,ORBBS,602,7,2008,6/19/2008,8:29,"Handel, Colleen M",171
ORBBS_602_7,ORBBS,602,7,2010,6/14/2010,7:52,"Handel, Colleen M",165
