pointid,Project,SurveyCode,Block,Year,Latitude,Longitude,Road1000,Road300,Elev300,Elev1000,Temp,Precip,Dist_max,Survey_radius,Time_dur,Fire10yr,surveyid,maxd,nbreaks,obsexp,obs_firstyr
ORBBS_602_8,ORBBS,ORBBS_602_82001,602,2001,1245734,230559,1,0,508,474,10.625,30.138,125,125,5,0,1,125,9,0,1
ORBBS_602_8,ORBBS,ORBBS_602_82002,602,2002,1245734,230559,1,0,508,474,10.625,30.138,125,125,8,0,2,125,9,4.43,0
ORBBS_602_8,ORBBS,ORBBS_602_82004,602,2004,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,3,125,9,6.61,0
ORBBS_602_8,ORBBS,ORBBS_602_82006,602,2006,1245734,230559,1,0,508,474,10.625,30.138,125,125,5,0,4,125,9,6.71,0
ORBBS_602_8,ORBBS,ORBBS_602_82008,602,2008,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,5,125,9,6.76,0
ORBBS_602_8,ORBBS,ORBBS_602_82010,602,2010,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,6,125,9,6.87,0
ORBBS_602_8,ORBBS,ORBBS_602_82012,602,2012,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,7,125,9,6.94,0
ORBBS_602_8,ORBBS,ORBBS_602_82013,602,2013,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,8,125,9,6.99,0
ORBBS_602_8,ORBBS,ORBBS_602_82014,602,2014,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,9,125,9,7.03,0
ORBBS_602_8,ORBBS,ORBBS_602_82016,602,2016,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,10,125,9,6.23,0
ORBBS_602_8,ORBBS,ORBBS_602_82018,602,2018,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,11,125,9,7.1,0
ORBBS_602_8,ORBBS,ORBBS_602_82020,602,2020,1245734,230559,1,0,508,474,10.625,30.138,125,125,10,0,12,125,9,7.16,0
ORBBS_602_8,ORBBS,ORBBS_602_81996,602,1996,1245734,230559,1,0,508,474,10.625,30.138,50,50,5,0,13,50,4,5.7025,0
ORBBS_602_8,ORBBS,ORBBS_602_81995,602,1995,1245734,230559,1,0,508,474,10.625,30.138,50,50,5,0,14,50,4,4.42,1
ORBBS_602_8,ORBBS,ORBBS_602_81994,602,1994,1245734,230559,1,0,508,474,10.625,30.138,50,50,5,0,15,50,4,4.226666667,1
ORBBS_602_8,ORBBS,ORBBS_602_81999,602,1999,1245734,230559,1,0,508,474,10.625,30.138,50,50,10,0,16,50,4,6.25,0
