Location,Date,Permit number,Fat,Bander,Mass (g),Body molt,Recorder,Flight feather molt,Band size,Upper left,Band number,Lower left,Species,Upper right,Disposition,Lower right,Status,Flag code,Age,GPS ID deployed,How aged,GPS ID recovered,Sex,Geo ID recovered,How sexed,Genetics,Wing length (mm),Hg,Exposed culmen,Blood filter paper,Total head,Nares to tip,Claw,Diagonal tarsus,S1 feather,Down,Latitude,Longitude,Comments,Study area,Ref code
Clitheroe,6/13/2025,23269,2,AU,87.56,,ML,,2,Dg,129232028,Metal,LEYE,Flag,Good,,Alive and well,9P,Adult,N,Breeding,N,,N,,,154,Y,36.1,Y,68,30.04,Y,51.01,Y,N,61.17619,-150.0342,"With partner KX. Alert and feisty the whole time. Didn't find chicks, but confident they were present. 9:45 AM.",Clitheroe,
Oceanview,6/15/2025,23269,1,KC,77.06,,AU,,2,Dg,142220949,Metal,LEYE,Flag  ,Good,,Alive and well,9T,Adult,N,Breeding,N,,N,,,165,Y,35.9,Y,65.4,27.3,Y   ,57.8,Y,N,61.09809,-149.86854,"Caught and banded with partner 9V, they had nest OCEAN1 and 2 chicks were banded along with them and a third chick was banded the next day",Oceanview,
Oceanview,6/15/2025,23269,1,AU,90.84,,KC,,2,Dg,1422220945,Metal,LEYE,Flag,Good,,Alive and well,9V,Adult,N,Breeding,N,,N,,,162,Y,34.5,Y,66.4,28.7,Y,49.7,Y,N,61.0981,-149.86854,"Caught and banded with partner 9T, they had nest OCEAN1 and 2 chicks were banded along with them and a third chick was banded the next day",Oceanview,
Oceanview,6/16/2025,23269,,AU,10.42,,ML,,2,,142221011,Metal,LEYE,Dg,Good,,Alive and well,none,Chick,N,,N,,N,,,,N,,N,,,N,,N,Y,61.09808,-149.87024,"Third chick of 9V and 9T, from OCEAN1 nest",Oceanview,
Oceanview,6/16/2025,23269,1,AU,86.56,,"ML, JC",,2,Dg,142221014,Metal,LEYE,Flag,Good,,"Alive and well, feisty",9X,Adult,N,Breeding,N,,N,,,160,Y,37.1,Y,68.1,28.1,Y,52.2,Y,N,61.09773,-149.87749,"Partner to JA. 2 chicks were caught too, only 1 banded (other got droopy - only mass and down). Bird took 30-40 sec to take off again, took a moment to collect itself, but eventually flew up and away",Oceanview,
Oceanview,6/16/2025,23269,,AU,12.4,,"ML, JC",,2,,142221012,Metal,LEYE,Dg,"Good, droopy at end",,Alive and well,none,Chick,N,,N,,N,,,,N,,N,,,N,,N,Y,61.09773,-149.87745,"Chick 1 of JA and 9X. Sibling caught too, but only this one banded before they got droopy",Oceanview,
Oceanview,6/16/25,23269,,AU,13.4,,"ML, JC",,,,,,LEYE,,"Good, droopy at end",,Alive and well,,Chick,N,,N,,N,,,,N,,N,,,N,,N,Y,61.09773,-149.87745,"Chick 2 of JA and 9X. Sibling caught and banded, but this one only got weighed + down before droopy",Oceanview,
Clitheroe,6/16/2025,23269,1,AU,78.41,,"ML, JC",,2,Dg,142221015,Metal,LEYE,Flag,Good,,"Alive and well, feisty",9U,Adult,N,Breeding,N,,N,,,160,Y,35.1,Y,69.3,29.8,Y,52,Y,N,61.17623,-150.03341,"Caught and banded with partner 9Y. Found no chicks, but confident they were present.",Clitheroe,
Clitheroe,6/16/2025,23269,1,AU,74.4,,"ML, JC",,2,Dg,142221013,Metal,LEYE,Flag,Good,,"Alive and well, feisty",9Y,Adult,N,Breeding,N,,N,,,159,Y,35.4,Y,65.9,27.5,Y,49.1,Y,N,61.17626,-150.03305,"Caught and banded with partner 9U. Found no chicks, but confident they were present.",Clitheroe,
Oceanview,6/15/2025,23269,,AU,11.18,,KC,,2,,142221004,Metal,LEYE,Dg,Good,,Alive and well,,Chick,N,,N,,N,,,17.8,N,,N,,,,,N,Y,61.09798,-149.86816,"First chick of 9V and 9T, from OCEAN1 nest",Oceanview,
Oceanview,6/15/2025,23269,,AU,11.6,,KC,,2,,1422220944,Metal,LEYE,Dg,Good,,Alive and well,,Chick,N,,N,,N,,,,N,,N,,,,,N,Y,61.09798,-149.86817,"Second chick of 9V and 9T, from OCEAN1 nest",Oceanview,
Clitheroe,6/17/2025,23269,1,KC,76,,RR,,2,Dg,142221017,Metal,LEYE,Flag,,,,2A,Adult,N,,N,,N,,,160,,35.6,Y,63.9,27.3,Y,54.2,Y,N,61.17522,-150.03748,,Clitheroe,
Clitheroe,6/17/2025,23269,1,KC,83,,RR,,2,Dg,142221016,Metal,LEYE,Flag,,,,2C,Adult,N,,N,,N,,,160,,35.9,,67.1,29.5,Y,56.5,Y,,61.17523,-150.03749,,Clitheroe,
Coastal Refuge,6/17/2025,23269,1,KC/RR,83.8,,JC,,2,Dg,142221019,Metal,LEYE,Flag,,,,2E,Adult,N,,N,,N,,,162,,38,Y,67.4,28.6,Y,60.4,Y,,61.17494,-150.0475,,Coastal Refuge,
Coastal Refuge,6/17/2025,23269,trace,KC,80,,RR,,2,Dg,129232054,,LEYE,Flag,,Metal,,2M,Adult,N,,N,,N,,,155,,33.7,,65.8,27.4,,53.5,,,61.17496,-150.04753,KC: This bird was originally banded as a chick at Clitheroe in 2023. I changed one digit of the band number from 8 to 0 - believe it was misread. ,Coastal Refuge,
Clitheroe,6/17/2025,23269,,KC/RR,,,JC,,2,Dg,142221018,,LEYE,,,Metal,,none,Chick,N,,N,,N,,,,,,N,,,N,,N,,61.17522,-150.03748,,Clitheroe,
