Study Area,Date,Time,Observers,Species,Location,Latitude,Longitude,Flag code,Upper left,Lower left,Upper right,Lower right,Systematic survey,GPS tag,Comments
Anchorage,5/9/2026,UNK,Mark Findlay,LEYE,Oceanview,61.099008,-149.871064,9T,dg,UNK,FLAG,UNK,No,No,"Reported by volunteer Mark Findlay. Said it was with a non-tagged bird. Photo in drive, lower legs not visible in water. Paired with 9V last year with chicks"
Anchorage,5/11/2026,UNK,Jamin Taylor,LEYE,Lake Hood,,,VJ,gfe,UNK,dG,UNK,No,No,"Reported on bird chat at 1800, near air museum"
Anchorage,5/15/2026,10:05,"ML, AU, RR, AK, RS, CS",LEYE,Oceanview,61.09644,-149.88268,9T,dg,m,gfe,-,N,N,Seemed to be paired with an untagged bird
Anchorage,5/18/2026,12:14,"ML, RR, AK, RS, CS",LEYE,Lake Hood,61.18098,-149.96522,UNK,gfe,-,dg,m,N,N,Too far away to read on island
Anchorage,5/18/2026,13:40,"ML, RR, AK, RS, CS",LEYE,Lake Hood,61.17878,-149.97434,LM,gfe,-,-,m,N,N,No dg band seen
Anchorage,5/19/2026,13:25,"RR, ML, CS",LEYE,Clitheroe,61.17317,-150.03397,2A,dg,m,gfe,-,N,N,"Atop fence opposite of Sus meadow, potential owner of nearby nest"
Anchorage,5/19/2026,13:43,"ML, RR, AK, RS, CS",LEYE,Lake Hood,61.17853,-149.97501,JV,gfe,-,dg,m,N,N,
Anchorage,5/19/2026,13:34,"AK, KC, RS",LEYE,Lake Hood,61.17844,-149.9754,JV,gfe,-,dg,m,N,N,Male paired with NC
Anchorage,5/19/2026,13:54,"AK, KC, RS",LEYE,Lake Hood,61.17844,-149.9754,NC,dg,m,gfe,-,N,N,Female Paired with JV
Anchorage,5/20/2026,7:33,"ML, RS, CS, AK",LEYE,Lake Hood,61.17848,-149.97631,NC,dg,m,gfe,-,N,N,Paired with JV
Anchorage,5/20/2026,7:35,"ML, RS, CS, AK",LEYE,Lake Hood,61.17848,-149.97635,JV,gfe,-,dg,m,N,N,Paired with NC
Anchorage,5/21/2026,13:56,"ML, CS, RS, AK",LEYE,Coastal Refuge,61.17749,-150.04239,TL,dg,-,gfe,-,N,N,Catherine took a photo to ID flag. No metal band
Anchorage,5/21/2026,10:31,"ML, CS, RS, AK",LEYE,Oceanview,61.09631,-149.87967,9T,dg,m,gfe,-,N,N,
Anchorage,5/21/2026,9:35,"ML, CS, RS, AK",LEYE,Oceanview,61.09628,-149.87702,XH,gfe,-,dg,m,N,N,
Anchorage,5/21/2026,9:06,"ML, CS, RS, AK",LEYE,Oceanview,61.09708,-149.87456,[none],-,m,dg,-,N,N,No flag
Anchorage,5/22/2026,11:24,"AU, SZ",LEYE,Lake Hood,61.17974,-149.97342,[none],dg,-,-,m,N,N,"Potential returning chick,no flag on upper leg"
Anchorage,5/22/2026,12:07,"AU, SZ",LEYE,Lake Hood,61.18122,-149.96726,2E,dg,UNK,gfe,UNK,N,N,"2E likely, second letter def an E, first letter had a curve to it like a 2, blurry photos from Gull Island"
Anchorage,5/25/2026,10:18,"AU, RS",LEYE,Lake Hood,61.181307,-149.96891,2C,dg,m,gfe,-,N,N,Seen on dock with 2A
Anchorage,5/25/2026,10:18,"AU, RS",LEYE,Lake Hood,61.181307,-149.96891,2A,dg,m,gfe,-,N,N,Seen on docl with 2C
Anchorage,5/25/2026,8:54,"AU, RS",LEYE,Lake Hood,61.18031,-149.9674,2E,dg,UNK,gfe,UNK,N,N,second letter a little muddy but 2C and 2A seen on same morning without the mud and there's only 3 birds with 2 in n=band so 2E is resonable. Second letter looks straight like an E
Anchorage,5/27/2026,9:33,"ML, SZ",LEYE,Clitheroe,61.17314,-150.03514,UNK,dg,m,gfe,-,N,N,"Stood with flagged leg tucked up for 15 min, unable to ID"
Anchorage,5/27/2026,8:56,"AU, CS, KR",LEYE,Oceanview,61.09608,-149.8791,9T,dg,m,gfe,-,N,N,seemed to be paired with unbanded. flying around with 2 unbanded birds
Anchorage,5/28/2026,11:22,"ML, AU, RS",LEYE,Coastal Refuge,61.17336,-150.05132,TM,dg,-,gfe,m,N,N,
Anchorage,5/28/2026,10:10,"ML, AU, RS",LEYE,Coastal Refuge,61.17666,-150.04722,TL,dg,-,gfe,m,N,N,
Anchorage,5/28/2026,9:42,"AU, RS, ML",LEYE,Coastal Refuge,61.17825,-150.03948,UNK,gfe,-,dg,m,N,N,
Anchorage,5/31/2026,UNK,Tom Reale,LEYE,Coastal Refuge,,,9P,dg,m,gfe,-,,,sent via email from Birds 'n' Bogs
Anchorage,6/1/2026,12:02,"ML, AK",LEYE,Coastal Refuge,61.17521,-150.04903,2M,dg,-,gfe,m,N,N,
Anchorage,6/2/2026,10:16,RR AK,LEYE,Lake Hood,61.1812,-149.96501,2A,dg,UNK,gfe,UNK,N,N,
Anchorage,6/2/2026,13:48,RR AK,LEYE,Oceanview,61.09789,-149.87307,[NONE],-,m,dg,-,N,N,"No flag. re-confirm leg locations with photo, poss. returned chick"
Anchorage,6/2/2026,13:32,RR AK,LEYE,Oceanview,61.095837,-149.874895,KH or XH,gfe,UNK,dg,UNK,N,N,paired with other bird below
Anchorage,6/2/2026,13:32,RR AK,LEYE,Oceanview,61.095837,-149.874895,UNK,gfe,UNK,dg,UNK,N,N,paired with other bird above
Anchorage,6/3/2026,10:15,RR RS,LEYE,Coastal Refuge,61.17657,-150.04797,TL,dg,UNK,gfe,UNK,N,N,flag faded
Anchorage,6/3/2026,9:56,RR RS,LEYE,Coastal Refuge,61.17602,-150.04825,TM,dg,UNK,gfe,UNK,N,N,flag faded
Anchorage,6/4/2026,11:09,ML RS,LEYE,Oceanview,61.09585,-149.87646,[none],-,m,dg,-,N,N,no flag
Anchorage,6/8/2026,13:36,"AU, RS, SZ",LEYE,Oceanview,61.09624,-149.87817,XH,gfe,-,dg,m,N,N,with flock of 3 other unbanded birds
Anchorage,6/10/2026,9:46,"AU, SZ, RS, AK",LEYE,Coastal Refuge,61.17787,-150.04135,VJ,dg,m,gfe,-,N,N,
Anchorage,6/10/2026,9:00,JJ,LEYE,Otter Lake South,61.28475,-149.75092,XU,gfe,m,dg,,N,N,Jim Johnson resighted the bird. Paired and very vocal.
Anchorage,6/11/2026,7:47,AU KC RS,LEYE,Coastal Refuge,61.17561,-150.04493,LV,dg,,gfe,,N,N,
Anchorage,6/12/2026,11:21,"ML, AU",LEYE,Coastal Refuge,61.17337,-150.05174,2M,dg,-,gfe,m,N,N,Broody on flats
Anchorage,6/12/2026,11:12,"ML, AU",LEYE,Coastal Refuge,61.17547,-150.04858,UNK,dg,-,gfe,-,N,N,No metal band
Anchorage,6/12/2026,11:13,AU ML SZ RS,LEYE,Coastal Refuge,61.1753,-150.04917,4U,gfe,- ,dg,m,N,N,
Anchorage,6/13/2026,8:02,"AU, SZ, RS  ",LEYE,Clitheroe,61.17199,-150.04451,YC,gfe,-,dg,m,N,N,"paired with TL, broody but behind fence"
Anchorage,6/13/2026,8:04,"AU, SZ, RS, AK  ",LEYE,Clitheroe,61.171987,-150.04452,TL,dg,-,gfe,-,N,N,"no metal band, paired with YC"
Anchorage,6/16/2026,7:18,"AU, SZ, RS, AK",LEYE,Clitheroe,61.1748,-150.03366,4V,flag,,dg,metal,N,N,"banded yesterday, still in area, paired with 2K"
Anchorage,6/16/2026,7:25,"AU, SZ, RS, AK",LEYE,Clitheroe,61.17475,-150.03474,2K,flag,,dg,metal,N,N,"banded yesterday, still in area, paired with 4V"
Anchorage,6/17/2026,11:50,"ML, RS, AK",LEYE,Clitheroe,61.17577,-150.03299,9P,gfe,-,dg,m,N,N,Paired with 9Y and with chicks at concrete pond
Anchorage,6/17/2026,11:45,"ML, RS, AK",LEYE,Clitheroe,61.17577,-150.03299,9Y,dg,m,gfe,-,N,N,Paired with 9P and with chicks at concrete pond
Anchorage,6/17/2026,7:54,Airport patrol,LEYE,Spenard Lake,-,-,-,dg,-,-,m,N,N,"Airport patrol sent a photo, band number has 7509 in it but no birds with that combo have left leg flags, must be a chick. code matches with chicks banded in 2020. only chick with a green band on upper right is 122275095, chick of MX banded on coastal refuge by clitheroe"
Anchorage,6/24/2026,10:14,"AU, RS",LEYE,Coastal Refuge,61.17623,-150.04551,2T,gfe,-,dg,m,N,N,
Anchorage,6/24/2026,10:17,"AU, RS",LEYE,Coastal Refuge,61.17616,-150.04514,2N,gfe,-,dg,m,N,N,
Anchorage,6/24/2026,10:44,"AU, RS",LEYE,Coastal Refuge,61.17667,-150.04136,2K,gfe,-,dg,m,N,N,
Anchorage,6/24/2026,9:34,"AU, RS",LEYE,Coastal Refuge,61.17582,-150.04844,2M,dg,-,gfe,m,N,N,
Anchorage,6/24/2026,10:32,"AU, RS",LEYE,Coastal Refuge,61.17591,-150.04413,2A,dg,UNK,gfe,UNK,N,N,
Anchorage,6/24/2026,10:45,"AU, RS",LEYE,Coastal Refuge,61.17667,-150.04136,9Y,dg,m,gfe,-,N,N,
Anchorage,6/24/2026,10:27,"AU, RS",LEYE,Coastal Refuge,61.17601,-150.0443,2C,dg,m,gfe,-,N,N,
Anchorage,6/24/2026,9:29,"AU, RS",LEYE,Coastal Refuge,61.17522,-150.04907,LV,dg,,gfe,,N,N,
Anchorage,6/26/2026,-,Tom and ELaine Reale,LEYE,Coastal Refuge,-,-,TM,dg,,gfe,,N,N,got pictures. BnB volunteer
