chick_resight_number,year_banded,band_number,2018,2019,2020,2021,2022,2023,2024,2025,2026
NA,2018,123233865,1,0,0,0,0,0,0,0,0
NA,2018,123233866,1,0,0,0,0,0,0,0,0
NA,2018,123233867,1,0,0,0,0,0,0,0,0
NA,2018,123233868,1,0,0,0,0,0,0,0,0
NA,2018,123233890,1,0,0,0,0,0,0,0,0
NA,2018,123233891,1,0,0,0,0,0,0,0,0
NA,2018,123233892,1,0,0,0,0,0,0,0,0
NA,2018,123233894,1,0,0,0,0,0,0,0,0
NA,2018,129231763,1,0,0,0,0,0,0,0,0
NA,2018,129231764,1,0,0,0,0,0,0,0,0
NA,2018,129231765,1,0,0,0,0,0,0,0,0
NA,2018,129231768,1,0,0,0,0,0,0,0,0
NA,2018,129231773,1,0,0,0,0,0,0,0,0
NA,2018,129231774,1,0,0,0,0,0,0,0,0
NA,2018,123233896,1,0,0,0,0,0,0,0,0
NA,2018,129231778,1,0,0,0,0,0,0,0,0
NA,2018,129231781,1,0,0,0,0,0,0,0,0
NA,2018,129231782,1,0,0,0,0,0,0,0,0
NA,2018,129231783,1,0,0,0,0,0,0,0,0
NA,2018,129231784,1,0,0,0,0,0,0,0,0
NA,2018,129231786,1,0,0,0,0,0,0,0,0
NA,2018,129231795,1,0,0,0,0,0,0,0,0
NA,2018,129231794,1,0,0,0,0,0,0,0,0
NA,2019,129231981,NA,1,0,0,0,0,0,0,0
NA,2019,129231982,NA,1,0,0,0,0,0,0,0
NA,2019,129231983,NA,1,0,0,0,0,0,0,0
NA,2019,129231986,NA,1,0,0,0,0,0,0,0
NA,2019,129231987,NA,1,0,0,0,0,0,0,0
NA,2019,129231988,NA,1,0,0,0,0,0,0,0
NA,2019,129231989,NA,1,0,0,0,0,0,0,0
1,2019,129231992,NA,1,0,1,0,0,0,0,0
2,2019,129231993,NA,1,0,1,0,0,0,0,0
NA,2019,129231977,NA,1,0,0,0,0,0,0,0
NA,2019,129231978,NA,1,0,0,0,0,0,0,0
NA,2019,129231979,NA,1,0,0,0,0,0,0,0
NA,2019,129231789,NA,1,0,0,0,0,0,0,0
NA,2019,129231796,NA,1,0,0,0,0,0,0,0
NA,2019,129231798,NA,1,0,0,0,0,0,0,0
NA,2019,129231799,NA,1,0,0,0,0,0,0,0
NA,2019,129231915,NA,1,0,0,0,0,0,0,0
NA,2019,129231916,NA,1,0,0,0,0,0,0,0
NA,2019,129231917,NA,1,0,0,0,0,0,0,0
NA,2019,122274500,NA,1,0,0,0,0,0,0,0
