Brood name,YR,Loc,Prefix,Metal,DNA
Sedges-JMW,1996,,802,39219,F
Sedges-JMW,1996,,802,39220,F
Sedges-JMW,1996,,802,39216,F
Sedges-JMW,1996,,802,39218,F
Konda,1996,JMW1,802,03116,F
Konda,1996,JMW1,802,03118,F
Konda,1996,JMW1,804,03119,F
Konda,1996,JMW1,803,03117,M
Conners-Javier,1996,,802,03193,F
Conners-Javier,1996,,802,03194,F
Conners-Javier,1996,,802,03191,M
Conners-Javier,1996,,802,03192,M
Happy Meals,1996,100th,801,03133,F
Happy Meals,1996,100th,802,03134,F
Happy Meals,1996,100th,802,03135,M
Iris,1996,EM,802,03154,F
Iris,1997,EM,802,03156,F
Iris,1996,EM,802,03155,M
OO7,1996,TM,802,39244,F
OO7,1996,TM,802,39243,F
OO7,1996,TM,802,03181,M
Clinton's Cabin,1996,IR,802,03185,F
Clinton's Cabin,1996,IR,802,03186,F
Clinton's Cabin,1996,IR,802,03184,M
Roses,1996,100th,802,39215,F
Roses,1996,100th,803,39214,M
Roses,1996,100th,804,39217,M
Sweet Gale,1996,SM,802,03173,M
Sweet Gale,1996,SM,802,03172,M
Sweet Gale,1996,SM,803,03170,M
Hillside ,1996,ANC,802,03195,F
Firehouse,1996,BVB,802,03130,F
Firehouse,1996,BVB,802,03129,M
Cook's 96,1996,EM,802,03150,M
